,city,date,polarity,state,text
0,East Millcreek,Fri May 18 03:38:07 +0000 2018,-0.06666666666666665,UT,@coltoncraves thank you for your support and your constant reminders of how ugly I am :)
1,Livingston,Thu May 17 20:31:27 +0000 2018,0.0,TX,@colton_childers I didn’t watch the show because I knew it would trigger someone like me and I didn’t wanna put mys… https://t.co/0N0PrQs8CK
2,Livingston,Thu May 17 20:34:18 +0000 2018,0.2,TX,"@colton_childers My whole issue is the topic of prevention, which is not touched upon in the show. If it was, I would give it a shot."
3,Indian Harbour Beach,Fri May 18 02:39:29 +0000 2018,0.56875,FL,@PFF love the roses nod!! Was @PFF_Mike given a leave of absence during filming so he could concentrate on his begging for a rose face!?!
4,Brooklyn,Fri May 18 02:50:28 +0000 2018,0.0,NY,@oh_colton UHM WHERE
5,Salt Lake City,Fri May 18 02:57:48 +0000 2018,0.2,UT,@DUBCREW86 @coltonmarsh3 Haha 50 tho&gt;&gt;&gt;
6,Eunice,Thu May 17 23:44:53 +0000 2018,0.0,LA,@coltonjinks a*
7,Claremont,Thu May 17 18:14:08 +0000 2018,0.0,CA,@LedyardNFLDraft @PFF_Mike  https://t.co/2CEGk82xZm
8,Cleveland,Thu May 17 18:40:04 +0000 2018,0.625,OH,"Oh man, I just love when worlds collide like this. 

@PFF_Mike I hope you go on all the sports/bach pods!

(cc:… https://t.co/BwAw7N1zJY"
9,Manhattan,Thu May 17 18:40:39 +0000 2018,-0.0625,NY,This is the dumbest show in the world. IT's all fake everyone saying they love each other after screwing each other.  #thebachelorette
10,Sikeston,Fri May 18 00:26:54 +0000 2018,0.17857142857142858,MO,@Chumarion @PFF_Mike This is pretty sick lol! Congrats to him!!
11,Houston,Thu May 17 19:18:11 +0000 2018,0.0,TX,@PFF_Mike @PFF 😂😂
12,Lockhart,Thu May 17 19:33:57 +0000 2018,0.35,FL,"Former podcast guest @PFF_Mike is the newest contestant on the Bachelorette. Congrats Mike, good luck.… https://t.co/FwaVemuR14"
13,Manhattan,Thu May 17 19:44:02 +0000 2018,0.0,NY,And hereeeeee we go!!! @PFF_Mike https://t.co/7ekm0apM0b
14,Media,Thu May 17 19:47:44 +0000 2018,0.0,PA,I'm not that @PFF_Mike https://t.co/Q7t4h4kwyB
15,Cheshire,Thu May 17 19:57:45 +0000 2018,0.35,CT,"Hey @PFF, how do I find scene counts and full @PFF_Mike data and analysis on the site?… https://t.co/CRQPs6DhN1"
16,St Louis,Fri May 18 01:11:39 +0000 2018,0.0,MO,@coltonkiser_ Gateway Grizzlies Park
17,Smyrna,Thu May 17 21:19:36 +0000 2018,1.0,TN,So @coltondixon came to the Best Buy I work at today and my heart just started pounding .
18,Nederland,Thu May 17 21:32:48 +0000 2018,0.0,TX,@colton_english1 @CSWalker2 @LL Everyone in his league is three leagues plus a championship above anyone in your league
19,Hauppauge,Thu May 17 21:36:43 +0000 2018,0.0,NY,@erincolton Were you on Sunrise Hwy going East around 9AM this morning?
20,Ocean City,Thu May 17 21:40:06 +0000 2018,0.1,NJ,@colton1998 Wow spoiler alert
21,Granbury,Thu May 17 21:48:40 +0000 2018,0.0,TX,@mcolton8_colton https://t.co/xtPOzLgZAh
22,Los Angeles,Fri May 18 04:15:08 +0000 2018,-0.036718749999999994,CA,@pencolton @perlmutations I just blocked a whole mess of them just like him! Bunch of haters!
23,Colorado Springs,Fri May 18 06:41:25 +0000 2018,0.8,CO,I haven’t seen @coltonerickson in like 25 years and I am so happy I got to see him tonight https://t.co/asrxWEs402
0,North Attleboro,Fri May 18 18:31:32 +0000 2018,0.0,MA,@CPachx29 @coltoncase111 No no you gotta roll the woods at the trap!
1,Mission Viejo,Fri May 18 18:42:05 +0000 2018,0.0,CA,@coltonteegarden I gotta get in on that👀
2,Florence,Fri May 18 18:47:38 +0000 2018,0.0,KY,@thatonecolton The gym
3,Boston,Sat May 19 04:54:02 +0000 2018,0.0,MA,"@coltonbuttnaked Face lift, just staple it all back"
4,South Lockport,Sat May 19 01:58:47 +0000 2018,0.5,NY,@plrw2010 @coltonskilly @paulh32 @carlosparis75 It looks like a magic Wknd. #🦏🦏
5,Enterprise,Fri May 18 22:31:25 +0000 2018,0.0,NV,@coltonbee Wya
6,Mission Viejo,Sat May 19 05:20:47 +0000 2018,0.15,CA,"@coltonteegarden I hope you know that your future son, my golden boy, his name will be Deanarden Teegarden"
7,Mission Viejo,Sat May 19 05:33:37 +0000 2018,0.0,CA,@coltonteegarden You can’t deny fate
8,Mission Viejo,Sat May 19 05:35:27 +0000 2018,0.5,CA,@coltonteegarden @heatherlbelle We will make you. Who could deny Deanarden his LOVE
9,Salem,Sat May 19 05:38:39 +0000 2018,0.0,OR,Congrats boys @DrakeCopley @ClyburnReid @colton153 @thurstonbroder https://t.co/SNf50Jglth
10,Mission Viejo,Sat May 19 05:42:25 +0000 2018,0.0,CA,@coltonteegarden @heatherlbelle He will grow on you. Promise
11,Kent,Sat May 19 05:49:00 +0000 2018,0.0,WA,@coltonkiser_ @ethands51 got some JOKES
12,Palmetto,Sat May 19 00:46:16 +0000 2018,0.0,FL,@MarcHilberer @coltondulin 😩
13,New Smyrna Beach,Fri May 18 23:17:58 +0000 2018,0.0,FL,@PFF_George @PFF_Mike That is what I think of when I think 'George Chahrouri' - the definition of one exhibiting at… https://t.co/WnzD5lqlNL
14,Columbus,Fri May 18 20:16:22 +0000 2018,0.9,OH,@coltoneing That song is incredible.
15,Brooklyn,Fri May 18 20:52:55 +0000 2018,0.0,NY,@meleeideologue @30000MONKIES @coltoneff WHEN
16,Brooklyn,Fri May 18 20:55:47 +0000 2018,0.0,NY,@meleeideologue @30000MONKIES @coltoneff Give or take what
17,Brooklyn,Fri May 18 20:56:45 +0000 2018,0.0,NY,@30000MONKIES @meleeideologue @coltoneff  https://t.co/DkeP3cdlFu
18,Brooklyn,Fri May 18 20:57:05 +0000 2018,-0.2,NY,@meleeideologue @30000MONKIES @coltoneff Tonight?! Shit maybe I’ll let you know
0,Kokomo,Sat May 19 18:46:21 +0000 2018,0.1953125,IN,@coltonhoward_ What??? Wow!!!
1,Framingham,Sat May 19 19:02:33 +0000 2018,0.0,MA,@coltonhaight_18 😂😘 https://t.co/pGIrhshWZr
2,Stilwell,Sat May 19 21:25:33 +0000 2018,0.516796875,OK,@aleah_tedder @colton_20_ true true !!!
3,Air Force Academy,Sat May 19 21:34:27 +0000 2018,-0.2,CO,"Brad Whitmarsh of @ThndrSports finishes third in 1:43.04 behind winner Wheat Ridge swimmer Ryan Peterson's 1:39.58,… https://t.co/ioHomEQ5Y9"
4,Fort Smith,Sun May 20 01:45:56 +0000 2018,0.55,AR,@colton_sagely10 is the real deal. Dawg finished on like a 19-23 run at the plate. Incredible. https://t.co/ASbxvuVL35
5,Bay City,Sun May 20 02:33:50 +0000 2018,0.0,TX,@Tyler_Jayce96 @CodyMoosberg @colton_20_ Listen to him Colten
6,Manhattan,Sun May 20 02:56:01 +0000 2018,0.0,NY,colton and antonio took a photo thank you
7,Manhattan,Sat May 19 23:38:03 +0000 2018,0.2857142857142857,NY,colton is at jlp right this moment while i’m in nyc That’s -
8,Manhattan,Sat May 19 23:45:36 +0000 2018,0.0,NY,hi please take pictures together @coltonthewizard @antoniocip13
9,Kent,Sun May 20 05:04:08 +0000 2018,-0.625,WA,@coltonkiser_ I’m sorry bud :(
0,Mesa,Mon May 21 00:15:44 +0000 2018,0.0,AZ,"TWITTER FRIENDS AND FAM!!!! ITS THE LAST DAY I REPEAT LAST DAY TO GET TICKETS TO SEE THE BOY, @colton_cottrell, FOR… https://t.co/hUtMiQDMCZ"
1,Boise,Mon May 21 00:55:53 +0000 2018,-0.75,ID,@coltonjbranson dont got her twit :(
