"","word","n"
"1","i",284200
"2","like",78300
"3","i’m",55900
"4","love",54900
"5","now",43100
"6","up",41000
"7","girl",35800
"8","demi_burnett",31500
"9","no",29600
"10","john",27800
"11","did",26300
"12","would",25100
"13","next",24100
"14","see",22200
"15","omg",21200
"16","right",20800
"17","ever",19800
"18","will",18700
"19","still",18400
"20","much",17300
"21","girls",17100
"22","need",16300
"23","rose",16100
"24","first",15800
"25","feel",15200
"26","should",13900
"27","over",13800
"28","oh",13200
"29","never",13100
"30","lol",12600
"31","bibi_julz",12500
"32","most",12400
"33","hope",12100
"34","tell",12000
"35","i’ve",11700
"36","guy",11600
"37","b",11500
"38","night",11400
"39","ok",11400
"40","new",11100
"41","didn’t",11000
"42","people",10900
"43","look",10100
"44","looks",10100
"45","yes",10000
"46","u",9500
"47","needs",9000
"48","wow",8600
"49","mike",8500
"50","tv",8500
"51","give",8100
"52","dude",7500
"53","guys",7500
"54","two",7500
"55","both",7200
"56","live",7200
"57","end",7100
"58","s",6700
"59","m",6600
"60","through",6500
"61","sure",6400
"62","ex",6300
"63","put",6300
"64","deserve",6200
"65","seen",6200
"66","friend",6100
"67","friends",6100
"68","pretty",6100
"69","fuck",6000
"70","while",5700
"71","lot",5600
"72","old",5600
"73","tyler",5600
"74","though",5500
"75","i’d",5300
"76","mom",5300
"77","ross",5300
"78","wtf",5300
"79","yet",5300
"80","i’ll",5200
"81","luke",5100
"82","cute",4900
"83","seems",4900
"84","producers",4700
"85","left",4600
"86","bc",4500
"87","perfect",4500
"88","pick",4500
"89","big",4400
"90","group",4300
"91","w",4300
"92","hot",4200
"93","cry",4100
"94","queen",4100
"95","send",4100
"96","super",4100
"97","im",4000
"98","until",4000
"99","cool",3800
"100","deserves",3800
"101","enough",3800
"102","knew",3800
"103","jed",3600
"104","respect",3600
"105","rn",3600
"106","demi",3500
"107","k",3500
"108","ugh",3500
"109","dress",3400
"110","nice",3400
"111","peter",3400
"112","5",3300
"113","f",3300
"114","sent",3300
"115","bumper",3200
"116","might",3200
"117","t",3200
"118","entire",3100
"119","fun",3100
"120","high",3100
"121","room",3100
"122","boy",3000
"123","trump",3000
"124","which",3000
"125","r",2900
"126","key",2800
"127","move",2800
"128","true",2800
"129","wouldn’t",2800
"130","under",2700
"131","bro",2600
"132","loved",2600
"133","scene",2600
"134","sucks",2600
"135","three",2600
"136","yo",2600
"137","chicken",2500
"138","choice",2500
"139","idk",2500
"140","shot",2500
"141","eyes",2400
"142","sienne",2400
"143","suck",2400
"144","tho",2400
"145","throw",2400
"146","voice",2400
"147","c",2300
"148","wills",2300
"149","dumb",2200
"150","lost",2200
"151","low",2200
"152","rest",2200
"153","rock",2200
"154","self",2200
"155","set",2200
"156","turn",2200
"157","6",2100
"158","broke",2100
"159","felt",2100
"160","full",2100
"161","funny",2100
"162","job",2100
"163","school",2100
"164","truly",2100
"165","vote",2100
"166","didn't",2000
"167","g",2000
"168","liked",2000
"169","model",2000
"170","o",2000
"171","p",2000
"172","picked",2000
"173","stupid",2000
"174","biggest",1900
"175","choose",1900
"176","guess",1900
"177","h",1900
"178","hi",1900
"179","l",1900
"180","lie",1900
"181","nights",1900
"182","proud",1900
"183","run",1900
"184","shut",1900
"185","tbh",1900
"186","broken",1800
"187","couple",1800
"188","few",1800
"189","food",1800
"190","gross",1800
"191","huh",1800
"192","likes",1800
"193","loves",1800
"194","president",1800
"195","truth",1800
"196","ur",1800
"197","8",1700
"198","found",1700
"199","future",1700
"200","kill",1700
"201","middle",1700
"202","obsessed",1700
"203","red",1700
"204","seem",1700
"205","smh",1700
"206","try",1700
"207","cut",1600
"208","drunk",1600
"209","feels",1600
"210","gives",1600
"211","joe",1600
"212","luck",1600
"213","mueller",1600
"214","spoilers",1600
"215","couch",1500
"216","fence",1500
"217","fight",1500
"218","hug",1500
"219","jump",1500
"220","less",1500
"221","movie",1500
"222","picks",1500
"223","plz",1500
"224","propose",1500
"225","shook",1500
"226","turned",1500
"227","um",1500
"228","upset",1500
"229","boyfriend",1400
"230","close",1400
"231","country",1400
"232","cuz",1400
"233","dick",1400
"234","emily",1400
"235","ends",1400
"236","hold",1400
"237","hurt",1400
"238","older",1400
"239","piece",1400
"240","possible",1400
"241","re",1400
"242","screen",1400
"243","shouldn’t",1400
"244","sign",1400
"245","terrible",1400
"246","would’ve",1400
"247","7",1300
"248","bip",1300
"249","boo",1300
"250","book",1300
"251","brought",1300
"252","chick",1300
"253","dumped",1300
"254","eye",1300
"255","follow",1300
"256","fool",1300
"257","kick",1300
"258","level",1300
"259","picture",1300
"260","rip",1300
"261","shocked",1300
"262","spot",1300
"263","stuff",1300
"264","till",1300
"265","tried",1300
"266","y",1300
"267","drop",1200
"268","ew",1200
"269","fell",1200
"270","holy",1200
"271","huge",1200
"272","joke",1200
"273","kylie",1200
"274","limo",1200
"275","lose",1200
"276","mood",1200
"277","news",1200
"278","omfg",1200
"279","pee",1200
"280","pls",1200
"281","sense",1200
"282","shoes",1200
"283","uncle",1200
"284","venmo",1200
"285","yr",1200
"286","blue",1100
"287","cruel",1100
"288","decided",1100
"289","e",1100
"290","experience",1100
"291","idiot",1100
"292","kids",1100
"293","led",1100
"294","peru",1100
"295","proposed",1100
"296","roses",1100
"297","sick",1100
"298","side",1100
"299","bless",1000
"300","btw",1000
"301","childhood",1000
"302","d",1000
"303","de",1000
"304","deserved",1000
"305","didnt",1000
"306","dropped",1000
"307","dudes",1000
"308","grew",1000
"309","hunter",1000
"310","impressed",1000
"311","lucky",1000
"312","needed",1000
"313","nick",1000
"314","props",1000
"315","pumped",1000
"316","pure",1000
"317","wild",1000
"318","bibi",900
"319","boys",900
"320","bs",900
"321","college",900
"322","enjoy",900
"323","figure",900
"324","film",900
"325","five",900
"326","grocery",900
"327","ice",900
"328","kenny",900
"329","killer",900
"330","lil",900
"331","lt",900
"332","neil",900
"333","nobody",900
"334","nose",900
"335","pictures",900
"336","premiere",900
"337","proposes",900
"338","punch",900
"339","quick",900
"340","respectful",900
"341","sell",900
"342","sexy",900
"343","shirt",900
"344","should’ve",900
"345","silence",900
"346","skip",900
"347","spent",900
"348","spoke",900
"349","stuck",900
"350","student",900
"351","tells",900
"352","th",900
"353","uh",900
"354","yikes",900
"355","blow",800
"356","body",800
"357","bowl",800
"358","bunch",800
"359","chill",800
"360","chose",800
"361","cold",800
"362","cutest",800
"363","decide",800
"364","def",800
"365","desert",800
"366","dressed",800
"367","drive",800
"368","em",800
"369","enewill",800
"370","fire",800
"371","hurts",800
"372","ily",800
"373","joey",800
"374","kid",800
"375","lies",800
"376","looked",800
"377","mn",800
"378","mute",800
"379","nooooo",800
"380","nyc",800
"381","period",800
"382","plot",800
"383","post",800
"384","posted",800
"385","producer",800
"386","quote",800
"387","relief",800
"388","rules",800
"389","sends",800
"390","series",800
"391","service",800
"392","simple",800
"393","steve",800
"394","sup",800
"395","v",800
"396","b’s",700
"397","bomb",700
"398","bought",700
"399","buy",700
"400","club",700
"401","count",700
"402","crew",700
"403","cried",700
"404","dc",700
"405","driver",700
"406","dump",700
"407","dumps",700
"408","ended",700
"409","feed",700
"410","flight",700
"411","free",700
"412","given",700
"413","grey",700
"414","hopefully",700
"415","j",700
"416","lip",700
"417","mvp",700
"418","noooooo",700
"419","open",700
"420","posts",700
"421","ppl",700
"422","pro",700
"423","row",700
"424","sloth",700
"425","spill",700
"426","spoiler",700
"427","stick",700
"428","sucked",700
"429","supposed",700
"430","third",700
"431","trip",700
"432","trouble",700
"433","turns",700
"434","ugly",700
"435","video",700
"436","voted",700
"437","wreck",700
"438","wth",700
"439","9",600
"440","bf",600
"441","bibs",600
"442","bottle",600
"443","bruh",600
"444","child",600
"445","choices",600
"446","closed",600
"447","currently",600
"448","drill",600
"449","duh",600
"450","dvr",600
"451","feet",600
"452","fest",600
"453","fired",600
"454","fucked",600
"455","fully",600
"456","girl’s",600
"457","hotel",600
"458","hulu",600
"459","i️",600
"460","leo",600
"461","lied",600
"462","lips",600
"463","luyendyk",600
"464","mr",600
"465","multiple",600
"466","murder",600
"467","noooo",600
"468","opens",600
"469","pic",600
"470","pot",600
"471","pretend",600
"472","prove",600
"473","ps",600
"474","pull",600
"475","pulled",600
"476","quirky",600
"477","rid",600
"478","ride",600
"479","rouge",600
"480","rt",600
"481","scott",600
"482","settle",600
"483","sex",600
"484","shoot",600
"485","speech",600
"486","spoken",600
"487","st",600
"488","text",600
"489","tf",600
"490","tired",600
"491","tune",600
"492","ummmm",600
"493","vs",600
"494","wiener",600
"495","woke",600
"496","wrote",600
"497","yessss",600
"498","0",500
"499","bill",500
"500","blessed",500
"501","bottles",500
"502","boyfriends",500
"503","bucket",500
"504","build",500
"505","children",500
"506","co",500
"507","cooper",500
"508","cue",500
"509","demo",500
"510","destroyer",500
"511","die",500
"512","directly",500
"513","dm",500
"514","dry",500
"515","dun",500
"516","energy",500
"517","fellow",500
"518","figured",500
"519","fill",500
"520","fix",500
"521","flew",500
"522","flood",500
"523","fo",500
"524","french",500
"525","geez",500
"526","girlfriend",500
"527","girlfriends",500
"528","guest",500
"529","guided",500
"530","jerk",500
"531","jokes",500
"532","jr",500
"533","killed",500
"534","ledger",500
"535","light",500
"536","los",500
"537","losers",500
"538","loss",500
"539","lots",500
"540","n",500
"541","neck",500
"542","nuts",500
"543","ol",500
"544","olds",500
"545","pig",500
"546","pool",500
"547","pop",500
"548","pre",500
"549","preview",500
"550","priceless",500
"551","promo",500
"552","psycho",500
"553","quest",500
"554","recently",500
"555","river",500
"556","round",500
"557","rude",500
"558","rule",500
"559","scenes",500
"560","sec",500
"561","sentence",500
"562","sesh",500
"563","sh",500
"564","signed",500
"565","smile",500
"566","snl",500
"567","snooze",500
"568","spend",500
"569","spoiled",500
"570","stfu",500
"571","surgery",500
"572","te",500
"573","teeth",500
"574","test",500
"575","tries",500
"576","type",500
"577","umm",500
"578","un",500
"579","wouldn't",500
"580","yelled",500
"581","yesssss",500
"582","500",400
"583","bffs",400
"584","blew",400
"585","boobs",400
"586","boom",400
"587","buddy",400
"588","buggy",400
"589","bugs",400
"590","bull",400
"591","bun",400
"592","burn",400
"593","cc",400
"594","center",400
"595","clmgiudici",400
"596","clue",400
"597","cough",400
"598","cries",400
"599","cross",400
"600","deck",400
"601","defend",400
"602","devil",400
"603","dms",400
"604","dumpster",400
"605","dutch",400
"606","ei",400
"607","emoji",400
"608","er",400
"609","evil",400
"610","expect",400
"611","folks",400
"612","fr",400
"613","friendship",400
"614","fuckboy",400
"615","gem",400
"616","glow",400
"617","ground",400
