"","date","polarity","state","text","Weeks","Season"
"1",2017-12-09,0,"OR","@BriAmaranthus Boooooooooooooooo","pre-show","Bachelor 2018"
"2",2017-12-12,0,"OR","@BriAmaranthus I hope you will hop out of that Limo to “Shout” and flashing the “O” wearing a Mariota Jersey! GO DUCKS","pre-show","Bachelor 2018"
"3",2017-12-12,0.6,"OR","@BartStarr16 @BobDeal11 @AaronJFentress @BriAmaranthus Absolutely! It’s an amazing opportunity, that’s well deserve… https://t.co/rI7J7THgMK","pre-show","Bachelor 2018"
"4",2017-12-12,0,"CA","Vote Now For Miss Philander Smith College, Brittany Taylor, to be an Ebony HBCU Queen! https://t.co/BgFijtvogD","pre-show","Bachelor 2018"
"5",2017-12-12,0,"CA","@BriAmaranthus Two words. VIEWING PARTIES! 🎉👊","pre-show","Bachelor 2018"
"6",2017-12-11,0.136363636363636,"TX","@EmilyKRsire @CarolineLunny @seinnefleming @ohhaybtay Wait, what is live tweeting?","pre-show","Bachelor 2018"
"7",2017-12-12,0,"TX","@CarolineLunny @EmilyKRsire @seinnefleming @ohhaybtay Idk. I heard some show was coming on. I think it’s called… https://t.co/9dmLwFWwwO","pre-show","Bachelor 2018"
"8",2017-12-12,0.3,"NC","@BachelorNation6 @BachelorABC @trumbullina @maroosworld aww you’re my favorite!😘","pre-show","Bachelor 2018"
"9",2017-12-11,0,"NY","Didn’t I tell you I was on #thebachelor this year? https://t.co/ngr42hBtPp","pre-show","Bachelor 2018"
"10",2017-12-12,-0.3,"MN","Ok Arie isn’t that bad, and I feel bad for him #thebachelor","pre-show","Bachelor 2018"
"11",2017-12-12,0.5,"MN","Bekah is so cute #thebachelor","pre-show","Bachelor 2018"
"12",2017-12-14,0,"AR","Y’all only one semester left until I’m officially Brittany Taylor Moore BSN, RN... in five short months I’m gonna b… https://t.co/8KGfsw8wGl","pre-show","Bachelor 2018"
"13",2017-12-14,0,"AR","Y’all only one semester left until I’m officially Brittany Taylor Moore BSN, RN... in five short months I’m gonna b… https://t.co/fjm05xyhAb","pre-show","Bachelor 2018"
"14",2017-12-14,0,"IL","@allisonromei stop what you’re doing rtfn. @bachelorabc premiere is Jan 1. We get to be NYE hungover and bash on th… https://t.co/znRKaGzHqY","pre-show","Bachelor 2018"
"15",2017-12-14,0.625,"NJ",".@maroosworld never fails at giving the best album music playlists on @TIDAL.","pre-show","Bachelor 2018"
"16",2017-12-14,0,"NJ",".@AlejandroChal is my newest bf and my newest album obsession. 
https://t.co/yLDeBgCg6T
@TIDAL 
@maroosworld","pre-show","Bachelor 2018"
"17",2017-12-13,0,"OR","@BriAmaranthus I see ya!  'The Bachelor' Cast: Meet Arie Luyendyk Jr.’s 29 Women https://t.co/VpUKXu9hR8 via @THR","pre-show","Bachelor 2018"
"18",2017-12-14,0.333333333333333,"AL","Move over Magic Mike. Main event is here. #thebachelors #studmuffins… https://t.co/HmUSMCjmIV","pre-show","Bachelor 2018"
"19",2017-12-15,0,"IL","@LaurenSchleyer @alyssa_marriee @FuturemanDigitl My highlight of the summer! We do have killer brick wall backgroun… https://t.co/shTLuyBXhS","pre-show","Bachelor 2018"
"20",2017-12-15,0.8,"TX","@LaurenSchleyer Girl, I had to check to see if you made the cut and hell yes. So damn proud of you 👏🏽

PS: I’m the… https://t.co/jEezcO8w9D","pre-show","Bachelor 2018"
"21",2017-12-16,0.35,"NV","“Is it true that you are going to be on @BachelorABC?” 🦆😂🌹 -@_TonytooTone #goducks #thebachelor #yes #vegasbowl https://t.co/MkNaHqPfEj","pre-show","Bachelor 2018"
"22",2017-12-16,0,"NV","@BriAmaranthus please start it. 🏄🏻‍♀️","pre-show","Bachelor 2018"
"23",2017-12-17,0,"CT","double posting bc we also met Matt from the bachelor last night 🌹😍

#thebachelor… https://t.co/61S0yh7pA1","pre-show","Bachelor 2018"
"24",2017-12-19,0,"ME","so #relationshep is @Bravotv trying out their version of #thebachelor?","pre-show","Bachelor 2018"
"25",2017-12-21,-0.4,"OR","Game 7 fantasy date 👏🏻🏀👀😂 #thebachelor https://t.co/m1NhMWNp95","pre-show","Bachelor 2018"
"26",2017-12-22,0.1,"OR","Wow even Leavitt is pumped about seeing @BriAmaranthus on television soon 🌹 https://t.co/EnQSMzpoDv","pre-show","Bachelor 2018"
"27",2017-12-26,0,"NY","@LaurenSchleyer  https://t.co/ffsKJXkK1k","pre-show","Bachelor 2018"
"28",2017-12-29,0,"NJ","Jenna Cooper’s 18 points and 14 rebounds led the Cavos to a 47-33 victory over Glen Rock! #RISE","pre-show","Bachelor 2018"
"29",2017-12-31,0.433333333333333,"DC","Out with camfoxx the drinks are STRONG #themill #thebachelorsmill @ The Bachelors Mill https://t.co/Pd5ywRSCb8","pre-show","Bachelor 2018"
