"","word","n"
"1","demi_burnett",31100
"2","i",28800
"3","love",5900
"4","i’m",5800
"5","like",5300
"6","girl",4400
"7","up",3600
"8","next",3500
"9","night",2700
"10","demi",2600
"11","now",2500
"12","no",2400
"13","see",2300
"14","will",2300
"15","i’ve",2100
"16","need",2100
"17","u",1900
"18","lol",1800
"19","would",1800
"20","b",1700
"21","ever",1700
"22","much",1700
"23","new",1700
"24","queen",1600
"25","still",1600
"26","fence",1500
"27","girls",1500
"28","end",1400
"29","hope",1400
"30","look",1400
"31","should",1300
"32","first",1200
"33","most",1200
"34","oh",1200
"35","over",1200
"36","w",1200
"37","friends",1100
"38","two",1100
"39","both",1000
"40","cute",1000
"41","friend",1000
"42","feel",900
"43","jump",900
"44","live",900
"45","people",900
"46","tell",900
"47","yes",900
"48","never",800
"49","rose",800
"50","seen",800
"51","bc",700
"52","g",700
"53","i’d",700
"54","ok",700
"55","omg",700
"56","right",700
"57","sloth",700
"58","tv",700
"59","wouldn’t",700
"60","big",600
"61","looks",600
"62","perfect",600
"63","pick",600
"64","put",600
"65","respect",600
"66","sent",600
"67","sure",600
"68","though",600
"69","boy",500
"70","deserve",500
"71","fun",500
"72","guess",500
"73","loved",500
"74","nights",500
"75","posted",500
"76","premiere",500
"77","s",500
"78","until",500
"79","ur",500
"80","yet",500
"81","choice",400
"82","couple",400
"83","cutest",400
"84","food",400
"85","full",400
"86","give",400
"87","guys",400
"88","idk",400
"89","left",400
"90","mood",400
"91","obsessed",400
"92","post",400
"93","pretty",400
"94","school",400
"95","self",400
"96","spoilers",400
"97","t",400
"98","wow",400
"99","yikes",400
"100","bio",300
"101","country",300
"102","deserves",300
"103","eyes",300
"104","f",300
"105","hi",300
"106","i’ll",300
"107","knew",300
"108","l",300
"109","liked",300
"110","los",300
"111","model",300
"112","nyc",300
"113","old",300
"114","picture",300
"115","prettiest",300
"116","red",300
"117","seems",300
"118","sign",300
"119","spoke",300
"120","steve",300
"121","super",300
"122","surgery",300
"123","turn",300
"124","ugh",300
"125","underwood",300
"126","would’ve",300
"127","bless",200
"128","blog",200
"129","blue",200
"130","boo",200
"131","boyfriend",200
"132","bro",200
"133","broke",200
"134","btw",200
"135","choose",200
"136","clip",200
"137","close",200
"138","college",200
"139","cry",200
"140","d",200
"141","dem",200
"142","developed",200
"143","dress",200
"144","e",200
"145","etiquette",200
"146","feels",200
"147","fellow",200
"148","felt",200
"149","follow",200
"150","funny",200
"151","gem",200
"152","girl’s",200
"153","girlfriend",200
"154","group",200
"155","gun",200
"156","guy",200
"157","high",200
"158","hop",200
"159","hopefully",200
"160","hot",200
"161","huge",200
"162","hulu",200
"163","im",200
"164","joy",200
"165","key",200
"166","kids",200
"167","kill",200
"168","knuppelrodney",200
"169","li",200
"170","lie",200
"171","lose",200
"172","lot",200
"173","loves",200
"174","low",200
"175","luck",200
"176","lunch",200
"177","mom",200
"178","needs",200
"179","o",200
"180","omfg",200
"181","picked",200
"182","pictures",200
"183","pls",200
"184","plz",200
"185","props",200
"186","prove",200
"187","queens",200
"188","r",200
"189","rest",200
"190","rn",200
"191","roses",200
"192","rt",200
"193","rules",200
"194","scene",200
"195","scrunchie",200
"196","send",200
"197","settle",200
"198","shoot",200
"199","shouldn’t",200
"200","slp",200
