"","word","n"
"1","i",23700
"2","john",22900
"3","mike",6500
"4","tyler",5600
"5","i’m",5200
"6","like",4700
"7","luke",4200
"8","up",4000
"9","love",3700
"10","jed",3600
"11","would",3000
"12","will",2800
"13","see",2600
"14","no",2500
"15","over",2400
"16","did",2200
"17","need",2000
"18","right",2000
"19","peter",1900
"20","c",1800
"21","next",1800
"22","night",1800
"23","now",1800
"24","p",1800
"25","trump",1700
"26","guy",1600
"27","mueller",1600
"28","ever",1500
"29","first",1500
"30","hope",1500
"31","tell",1500
"32","lol",1400
"33","never",1400
"34","people",1400
"35","still",1400
"36","new",1300
"37","most",1100
"38","much",1100
"39","oh",1100
"40","perfect",1100
"41","both",1000
"42","chicken",1000
"43","didn’t",1000
"44","i’ve",1000
"45","put",1000
"46","demi",900
"47","yes",900
"48","end",800
"49","guys",800
"50","lie",800
"51","pick",800
"52","r",800
"53","fuck",700
"54","i’ll",700
"55","look",700
"56","needs",700
"57","send",700
"58","should",700
"59","through",700
"60","two",700
"61","w",700
"62","yo",700
"63","5",600
"64","bro",600
"65","cry",600
"66","dude",600
"67","fool",600
"68","give",600
"69","hunter",600
"70","job",600
"71","led",600
"72","looks",600
"73","possible",600
"74","s",600
"75","seems",600
"76","under",600
"77","6",500
"78","8",500
"79","big",500
"80","cute",500
"81","deserve",500
"82","destroyer",500
"83","drill",500
"84","feel",500
"85","g",500
"86","guided",500
"87","im",500
"88","ledger",500
"89","lied",500
"90","lies",500
"91","ok",500
"92","piece",500
"93","president",500
"94","relief",500
"95","u",500
"96","upset",500
"97","voted",500
"98","which",500
"99","b",400
"100","bought",400
"101","chose",400
"102","demi_burnett",400
"103","ei",400
"104","ex",400
"105","flood",400
"106","friend",400
"107","h",400
"108","hot",400
"109","idk",400
"110","joe",400
"111","ku",400
"112","live",400
"113","lot",400
"114","move",400
"115","nice",400
"116","omg",400
"117","period",400
"118","proud",400
"119","qb",400
"120","queen",400
"121","rest",400
"122","rose",400
"123","seen",400
"124","service",400
"125","super",400
"126","sure",400
"127","t",400
"128","three",400
"129","tried",400
"130","truth",400
"131","wtf",400
"132","boy",300
"133","bunch",300
"134","cool",300
"135","cuz",300
"136","defend",300
"137","dick",300
"138","didn't",300
"139","eyes",300
"140","f",300
"141","few",300
"142","folks",300
"143","food",300
"144","friends",300
"145","fully",300
"146","funny",300
"147","grocery",300
"148","i’d",300
"149","impede",300
"150","joey",300
"151","jpj",300
"152","kill",300
"153","knew",300
"154","m",300
"155","md",300
"156","might",300
"157","mom",300
"158","mood",300
"159","o",300
"160","older",300
"161","picked",300
"162","pilot",300
"163","policies",300
"164","rip",300
"165","school",300
"166","scott",300
"167","shut",300
"168","te",300
"169","truly",300
"170","until",300
"171","video",300
"172","while",300
"173","would’ve",300
"174","wow",300
"175","yet",300
"176","7",200
"177","bc",200
"178","bless",200
"179","bottle",200
"180","bowl",200
"181","box",200
"182","breeze",200
"183","brought",200
"184","bruh",200
"185","bts",200
"186","built",200
"187","bun",200
"188","center",200
"189","children",200
"190","choice",200
"191","closed",200
"192","co",200
"193","college",200
"194","country",200
"195","country’s",200
"196","cried",200
