,city,date,polarity,state,text
0,San Antonio,Sat Dec 09 23:06:26 +0000 2017,0.0,TX,"And just like that, I got my bachelor's in mathematics y'all 👩🏾‍🎓 @ St. Mary's University https://t.co/Tz8p8XdVkn"
1,North Andover,Sat Dec 09 23:10:53 +0000 2017,0.0,MA,Going to Vegas in March for a bachelor party pray for me
2,Pittsburgh,Sat Dec 09 23:38:50 +0000 2017,0.5,PA,“Unless that cake has a penis on It that is NOT a lit bachelorette party” ok mom
3,Kirkland,Sat Dec 09 23:51:00 +0000 2017,0.0,WA,The fact that I'm the one who gets to plan @BigGoofy123 bachelor party is asinine. #HCPGA
4,Sherwood,Sat Dec 09 22:20:08 +0000 2017,0.0,OR,@BriAmaranthus Boooooooooooooooo
5,St Petersburg,Sat Dec 09 22:25:03 +0000 2017,0.375,FL,Lots of #fun and laughs with my #bacheloretteparty #paintparty today. Book yours! @ Pom Pom's… https://t.co/VA3ElPmlzW
6,Austin,Sat Dec 09 22:30:07 +0000 2017,0.0,TX,"Lake Travis sandwich 
Goodtimeaustin. #laketravispartybarge #Bachelorbacheloretteparties #austinpartyboattours… https://t.co/M6yPhlduCa"
7,El Cajon,Sat Dec 09 21:13:54 +0000 2017,-1.0,CA,The amount of post graduates with a bachelor struggling to find a career I know is simply shocking.
8,Valdosta,Sat Dec 09 21:17:54 +0000 2017,0.26666666666666666,GA,One of the nice things about being a bachelor is that all of the hand towels in my bathroom are towels you can use to dry your hands.
9,Jacksonville,Sat Dec 09 21:26:54 +0000 2017,0.0,AL,My horoscope today told me I’m a member of the “bachelor” group. Relationships don’t work out in our favor. The signs have spoke!!!
10,Paramount,Sat Dec 09 21:27:55 +0000 2017,0.04999999999999996,CA,Playing Small College is not a bad thing. A Bachelors is a bachelor #IMO https://t.co/9VuuuxYfBs
11,St Petersburg,Sat Dec 09 21:27:59 +0000 2017,0.0,FL,#bacheloretteparty #paintparty #hearts for the #bride to be. @ Pom Pom's Teahouse and… https://t.co/pjKfInuNNG
12,Oroville,Sat Dec 09 20:27:36 +0000 2017,-0.39722222222222225,CA,My bachelorette party is going to be crazy. Anything with @moeaaa involved in the planning it's going down ! 💍👰🏽 😂
13,Visalia,Sun Dec 10 07:34:17 +0000 2017,0.0,CA,My homegirl is having her bachelorette in belizeee ayeeeee 🤗
14,Los Angeles,Sun Dec 10 07:54:29 +0000 2017,0.0,CA,@KimTikt Van bachelor naar doctor vind ik nogal een grote stap.
15,Texas City,Sun Dec 10 04:13:17 +0000 2017,0.0,TX,Death of a bachelor 🎧
16,Santa Clarita,Sun Dec 10 04:28:45 +0000 2017,0.0,CA,"Pet peeve: girls that wear sashes for their birthdays, bachelorettes, etc."
17,Santa Clarita,Sun Dec 10 04:28:45 +0000 2017,0.0,CA,"Pet peeve: girls that wear sashes for their birthdays, bachelorettes, etc."
18,Baton Rouge,Sun Dec 10 04:52:26 +0000 2017,0.8,LA,Celebrating this guy's bachelorhood before he marrys emilysulzer! A great man and even better… https://t.co/He6ZH9TuP5
19,Treasure Island,Sun Dec 10 04:52:36 +0000 2017,0.0,FL,"ついに念願のAA卒業😂♥️今セミスターの始めは精神的にズタボロでどうなるかと思ってたけど無事に終わりついにとうとう卒業が迎えられました🎓💙
次はbachelor卒業を目指してがんばります😏その前に1ヶ月休憩にはいります♥️ https://t.co/2v1i1a5nzo"
20,Greensboro,Sun Dec 10 05:26:12 +0000 2017,-0.16666666666666666,NC,Woooooow I already know who the final one is next season of the bachelor wtf people it hasn’t even started
21,Kansas City,Sun Dec 10 05:31:29 +0000 2017,0.0,MO,"👯‍♀️ Celebrating this bachelorette babe tonight! 👯‍♀️ 

#bachelorette #sarah… https://t.co/mHpslCXOFP"
22,Yuma,Sun Dec 10 05:37:20 +0000 2017,0.0,AZ,@Its_JustARide @CNN I did as a matter of fact I have a  bachelors from FSU and a Master from Pepperdine Univ in Cal… https://t.co/bQShits16s
23,Iowa City,Sat Dec 09 19:31:37 +0000 2017,0.16,IA,"Today, I'm thankful for my mom.

When I was born, she finished high school, got her bachelor's degree, worked full… https://t.co/sZzMEkUxfx"
24,Lake Wales,Sat Dec 09 19:48:10 +0000 2017,0.625,FL,@kuwop3000 Awww what are you up to?! Yes today is my besties pre bachelorette party!
25,San Francisco,Sat Dec 09 19:49:32 +0000 2017,0.25416666666666665,CA,“that gay bar is fun but it would be extra fun if I brought my bachelorette party”
26,Warrensburg,Sat Dec 09 19:54:47 +0000 2017,-0.07142857142857142,MO,#IAmTheResistance Single mom X3 boys after husband died by suicide. After his death finished bachelor degree w/hono… https://t.co/quLgBFdMZb
27,Mesquite,Sun Dec 10 03:51:53 +0000 2017,-0.375,TX,“ theres not a bachelors in photography “ damn i wonder how im getting it then://///// dumb asshole
28,West Hattiesburg,Sun Dec 10 00:12:46 +0000 2017,0.0,MS,I’m done with my associates degree 🙌🏽 just waiting on graduation. then for my bachelors 😊
29,Lake Charles,Sun Dec 10 01:17:14 +0000 2017,0.0,LA,We'd like to Congratulate Bro. Edmond H. (Nash Fall’17) on obtaining his bachelors from Mcneese State University.… https://t.co/O9zqITdPCu
30,Lake Charles,Sun Dec 10 01:18:10 +0000 2017,0.0,LA,We'd like to Congratulate Bro. Edmond H. (N.A.S.H Fall’17) on obtaining his bachelors from Mcneese State University… https://t.co/doClucNQ9p
31,Nashville,Sun Dec 10 02:13:00 +0000 2017,0.0,TN,@FLAGALine your bar kicked me out for “spilling” a drink on the dance floor yet I inspired an entire bachelor group… https://t.co/tZWFNe5BUw
32,Plano,Sun Dec 10 02:18:14 +0000 2017,0.0,TX,Made plans with my roommate to go to her coworkers bachelorette party &amp; I wish I never did 🙄
33,Chicago,Sun Dec 10 02:27:38 +0000 2017,0.0,IL,#saturdaynight #stripper #chicago #strippers https://t.co/Kul1eIxrzk #bachelorparty #exoticdancers… https://t.co/qLCDrprbve
34,Edgewood,Sun Dec 10 02:36:38 +0000 2017,0.0,MD,Finally enrolled in classes to finish my bachelor’s #betterlatethannever #ucmc
35,Edgewood,Sun Dec 10 02:42:34 +0000 2017,0.0,MD,finally enrolled in classes to finish my bachelor’s #betterlatethannever #umuc
0,San Marcos,Sun Dec 10 21:55:02 +0000 2017,0.15,TX,Okay arie is kinda a babe. And holy shit the bachelor comes on tomorrow. https://t.co/XjHnwNq6Cg
1,Fullerton,Sun Dec 10 23:12:20 +0000 2017,0.0,CA,#notmybachelor 🙄 https://t.co/EXEnGaHPQL
2,Irvine,Sun Dec 10 23:33:39 +0000 2017,0.0,CA,@ashlee__rebecca You can watch the bachelor on the ABC app!!!
