,city,date,polarity,state,text
0,South Burlington,Fri May 18 03:48:18 +0000 2018,0.0,VT,"Mike Johnson is not the hero we need, but the hero we deserve!!"
1,Queens,Thu May 17 22:43:36 +0000 2018,0.0,NY,@JohnPaulWeber Up block from us. It was glorious
0,Hooks,Sat May 19 01:48:48 +0000 2018,0.0,TX,@MarkWoodsmall @packersfan86 @mushwear @jimmyjamny @Babchik @EvCoRadio @jpwilson1982 @JohnPaulFAL @FalQueen… https://t.co/9c4vUUrF4o
1,Hooks,Sat May 19 01:50:59 +0000 2018,0.0,TX,@MarkWoodsmall @packersfan86 @mushwear @jimmyjamny @Babchik @EvCoRadio @jpwilson1982 @JohnPaulFAL @FalQueen… https://t.co/uMpwXrMM3a
2,Lindenhurst,Sat May 19 00:03:15 +0000 2018,0.3125,NY,The most underrated Led Zeppelin member! John Baldwin aka John Paul Jones. Musical genius!!!!! https://t.co/QJ9vKoaxRn
3,Breaux Bridge,Fri May 18 20:46:28 +0000 2018,0.0,LA,@RepMikeJohnson Why crop ur pictures?
4,Hooks,Fri May 18 20:49:49 +0000 2018,0.0,TX,@mushwear @packersfan86 @jimmyjamny @Babchik @EvCoRadio @jpwilson1982 @JohnPaulFAL @FalQueen @UCONNAl @JoelNajera… https://t.co/Q6hnTDfLPc
5,Malta,Fri May 18 20:53:41 +0000 2018,0.0,NY,@mushwear @packersfan86 @Babchik @EvCoRadio @jpwilson1982 @JohnPaulFAL @FalQueen @UCONNAl @JoelNajera @Tropes1406… https://t.co/oIlETsrKto
6,Hooks,Fri May 18 20:54:18 +0000 2018,0.0,TX,@jimmyjamny @mushwear @packersfan86 @Babchik @EvCoRadio @jpwilson1982 @JohnPaulFAL @FalQueen @UCONNAl @JoelNajera… https://t.co/J11L8qN8Gw
7,North Scituate,Fri May 18 21:25:09 +0000 2018,0.0,RI,@willdavidtripp1 @jimmyjamny @mushwear @packersfan86 @Babchik @EvCoRadio @jpwilson1982 @JohnPaulFAL @UCONNAl… https://t.co/4fAXrvCAGP
8,Malta,Fri May 18 21:27:35 +0000 2018,0.0,NY,@millhouse77777 @packersfan86 @mushwear @Babchik @EvCoRadio @jpwilson1982 @JohnPaulFAL @FalQueen @UCONNAl… https://t.co/6BVkUe9TP4
9,Malta,Fri May 18 21:32:41 +0000 2018,0.0,NY,@JohnPaulFAL @TonyD2155 @millhouse77777 @packersfan86 @mushwear @Babchik @EvCoRadio @jpwilson1982 @FalQueen… https://t.co/O1CtTa9EbI
