,city,date,polarity,state,text
0,Scranton,Thu Mar 14 16:13:14 +0000 2019,0.0,PA,"The burgh in May for Garth Brooks, Poconos for a bachelorette in June, Charleston and Darlington SC LDW, and Savann… https://t.co/9ULJTQmknF"
1,San Diego,Thu Mar 14 16:13:51 +0000 2019,0.0,CA,03.14.2019 Fact. Will be lost until May when The Bachelorette begins. #thebachelor #onmondayswewatchthebachelor… https://t.co/ib9pUw3ajR
2,Tuscaloosa,Thu Mar 14 16:21:02 +0000 2019,0.0,AL,liking the bachelor isn’t a personality trait y’all chill 🤧
3,Kaanapali,Thu Mar 14 16:24:44 +0000 2019,0.8,HI,@jenner_ lol i’m guessing you’re not gonna watch the bachelorette now
4,Los Angeles,Thu Mar 14 16:32:41 +0000 2019,0.0,CA,Ya'll watching the bachelor while I'm getting this bachelor's degree. We not built the same 😤🙅‍♀️🤑
5,Lake Forest,Thu Mar 14 16:49:46 +0000 2019,-0.625,CA,this bachelorette is about to be the worsttt and I’m mad that I’m so invested in this show.. literally could not ha… https://t.co/CBBBeOBOPN
6,Brooklyn,Thu Mar 14 16:52:36 +0000 2019,0.13333333333333336,NY,@enjayas_writes From the last few Bachelorette seasons there were def POC guys that wouldve been amazing bachelors.… https://t.co/Gaz8PSrrBa
7,Johnstown,Thu Mar 14 16:54:50 +0000 2019,0.5,PA,There's too many people a respect that watch the bachelor
8,North Hartsville,Thu Mar 14 12:19:43 +0000 2019,0.4681818181818182,SC,"Great example of a @MidlandsTech to @CokerCollege bridge student moving from associate, to bachelor in +2, to new e… https://t.co/UolS19c1H5"
9,Danville,Thu Mar 14 12:23:28 +0000 2019,0.13636363636363635,PA,HANNAH B IS THE NEW BACHELORETTE AND IM LIKE SO HYPEDDDDDD #hannahbeast #bachelorette https://t.co/XdYT14B5Gn
10,Boston,Thu Mar 14 12:41:35 +0000 2019,0.8,MA,To this day I can proudly say I’ve never watched the bachelor or bachelorette and still have zero desire to submit… https://t.co/c4EO4fMIRD
11,Erie,Thu Mar 14 12:49:20 +0000 2019,0.0,PA,"@bcastra5 @EarllthaPearll this is it man, this is your version of the bachelor."
12,Port Washington,Thu Mar 14 21:02:50 +0000 2019,0.19374999999999998,NY,@colton Well that’s just being a good boyfriend. I mean you jumped a fence for the girl and quit being the bachelor… https://t.co/BVQ7mZnRTy
13,Hermosa Beach,Thu Mar 14 21:19:33 +0000 2019,0.3,CA,@BacheloretteABC @BachelorABC Personally I'd have given the rose to LUKE... #lukebachelorette
14,Chicago,Thu Mar 14 21:31:59 +0000 2019,0.25,IL,It's my last night as a bachelor before making the move to cohabitation with the lovely @theycalmejackie. To celebr… https://t.co/p3VQtX0JXM
15,Cambridge,Thu Mar 14 21:47:10 +0000 2019,0.0,MA,"@yashar I have a bachelor’s degree from RPI, but I’m currently enrolled at @BHCCBoston taking their online Janapnes… https://t.co/URJ5OxnGWG"
16,Cambridge,Thu Mar 14 21:48:45 +0000 2019,0.0,MA,"I have a bachelor’s degree from RPI, but I’m currently enrolled at @BHCCBoston taking their online Janapnese 102 co… https://t.co/HEbjL9jbxH"
17,Memphis,Thu Mar 14 11:02:17 +0000 2019,0.6,TN,"Watching Twitter lose it's ever loving mind for 2 days because the bachelor did not get engaged kind of kills the ""… https://t.co/zfIUipDLDF"
18,Three Oaks,Thu Mar 14 23:15:18 +0000 2019,0.25,FL,so i just watched the bachelor for the first time and it just baffles me how after 3 dates these girls wanna marry… https://t.co/jODRLwJ1a7
19,Durham,Thu Mar 14 23:19:25 +0000 2019,0.0,NC,"@yashar My bachelor’s degree would have earned me $30,000 max. My community college ultrasound degree? $65-90,000.… https://t.co/dOXhR3mBma"
20,Nashville,Thu Mar 14 23:43:03 +0000 2019,0.7000000000000001,TN,"Thank you to my wonderful sister (MOH),  bridesmaids &amp; cousin for throwing me the most amazing bachelorette weekend… https://t.co/9eEEkM6FGr"
21,College Station,Thu Mar 14 23:44:17 +0000 2019,0.0,TX,a bachelorette contestant has played guitar in my house w o w
22,Depew,Thu Mar 14 23:55:50 +0000 2019,0.5,NY,Already a million times better than this season of the bachelor
23,Gilbert,Thu Mar 14 17:13:31 +0000 2019,0.0,AZ,When my dad is trying to persuade me to go on the next season of the bachelor and I’m like “no! I’m not going on tv… https://t.co/cwK31N4OQq
24,Toledo,Thu Mar 14 17:18:09 +0000 2019,0.0,OH,"I start talking about bachelor while I’m on my way home in the car with my mom, and my dad butts in &amp; says “serious… https://t.co/kBGW53SFn6"
25,Fort Worth,Thu Mar 14 17:18:14 +0000 2019,-0.7,TX,the bachelorette contestants are. So ugly this year
26,Oxford,Thu Mar 14 17:23:02 +0000 2019,0.0,AL,this weekend is our bachelorette/bachelor trips and neither of us are prepared
27,St Joseph,Thu Mar 14 17:46:55 +0000 2019,0.0,MO,"If you don’t talk to your customers about FFA contest results,  turkey season, AND the bachelore season finale befo… https://t.co/OKHHHaR8c9"
28,North Richland Hills,Thu Mar 14 17:51:11 +0000 2019,0.5,TX,Okay where did they find these guys for the bachelorette????????
29,Kansas City,Thu Mar 14 17:55:03 +0000 2019,0.2,MO,I went to Metropolitan Community College in Kansas City. I’m not getting ready to graduate with my bachelors in the… https://t.co/gJgJcfQWNk
30,Herndon,Thu Mar 14 13:04:11 +0000 2019,0.0,VA,@essenceofash She doesn’t even have a bachelors...
31,Virginia Beach,Thu Mar 14 13:51:55 +0000 2019,0.0,VA,"I only watched one episode of the bachelor, but I think Cassie is the prettiest human I’ve ever seen"
32,St Joseph,Thu Mar 14 13:56:37 +0000 2019,0.75,MO,What did you all think about the @bachelorabc finale?! I’m pretty happy for them! 😊 I think it’s awesome that they… https://t.co/Oh4ugoY702
33,Medley,Thu Mar 14 15:05:10 +0000 2019,0.12878787878787878,FL,"Am I the only one who hates the new bachelorette? I’m all about women supporting women, however Hannah B. was like… https://t.co/cT0qzmCa7T"
34,West St Paul,Thu Mar 14 15:13:10 +0000 2019,0.0,MN,@bethsauce23 Yeah I totally see your point. I was worried about him being the bachelor from the beginning because h… https://t.co/Bfx6lsZ0s8
35,Clover,Thu Mar 14 15:17:29 +0000 2019,0.19166666666666665,SC,Hey @jtrain56 how excited are you for this #TrainWreck. The next #bachelorette really? https://t.co/932iGdRMAF
