name,age,city,state,place,date_elim,twitter_handle
Garrett Yrigoyen,29,Manteca,California,1,6-Aug-18,Garrett Yrigoyen
Blake Horstmann,28,Bailey,Colorado,2,30-Jul-18,balockaye_h
Jason Tartick,29,Buffalo,New York,3,23-Jul-18,Jason_Tartick
Colton Underwood,26,Washington,Illinois,4,16-Jul-18,colton
"William ""Wills"" Reid",29,Los Angeles,California,5,9-Jul-18,Wills Reid
"Leandro ""Leo"" Dottavio",31,Los Angeles,California,6,9-Jul-18,leodottavio
Connor Obrochta,25,St. Petersburg,Florida,7,2-Jul-18,CObrochta33
Lincoln Adim,26,Boston,Massachusetts,8,2-Jul-18,Lincoln Adim
Chris Randone,30,Pleasantville,New York,9,2-Jul-18,ChrisRandone
John Graham,28,Chicago,Illinois,10,25-Jun-18,johngraham262
Jordan Kimball,26,Crystal River,Florida,11,25-Jun-18,jordan__kimball
David Ravitz,25,Cherry Hill,New Jersey,12,25-Jun-18,DavidRavitz
Christon Staples,31,Los Angeles,California,13,18-Jun-18,Christon Staples
"Nicholas ""Nick"" Spetsas",27,Palm Coast,Florida,14,18-Jun-18,Nick Spetsas
Jean Blanc,31,Boston,Massachusetts,15,18-Jun-18,jean__blanc
"Michael ""Mike"" Renner",27,Cincinnati,Ohio,16,11-Jun-18,PFF_Mike
Ryan Peterson,26,Mashpee,Massachusetts,17,11-Jun-18,Ryan Peterson
Clay Harbor,30,Chicago,Illinois,18,11-Jun-18,clayharbs82
Alex Templeman,31,Atlanta,Georgia,19,4-Jun-18,Alex Templeman
Rickey Jasper,27,Ashburn,Virginia,20,4-Jun-18,rickeylaneii
Trent Jespersen,28,Carroll,Iowa,21,4-Jun-18,Trent Jespersen
Chase Vergason,27,Sanford,Florida,22,28-May-18,vergason16
Christian Estrada,28,San Diego,California,23,28-May-18,Christian Estrada
Darius Feaster,26,Sherman Oaks,California,24,28-May-18,FeastTHEBEAST
Grant Vandevanter,27,Danville,California,25,28-May-18,Grant Vandevanter
Joe Amabile,31,Chicago,Illinois,26,28-May-18,AmabileJoe
Kamil Nicalek,30,Monroe,New York,27,28-May-18,KamilNicalek
Jake Enyeart,29,Minneapolis,Minnesota,28,28-May-18,JakeEnyeart
