"","word","n"
"1","i",284200
"2","like",78300
"3","i’m",55900
"4","love",54900
"5","now",43100
"6","up",41000
"7","girl",35800
"8","demi_burnett",31500
"9","no",29600
"10","john",27800
"11","would",25100
"12","next",24100
"13","see",22200
"14","omg",21200
"15","right",20800
"16","ever",19800
"17","will",18700
"18","still",18400
"19","much",17300
"20","girls",17100
"21","need",16300
"22","rose",16100
"23","first",15800
"24","feel",15200
"25","should",13900
"26","over",13800
"27","oh",13200
"28","never",13100
"29","lol",12600
"30","bibi_julz",12500
"31","most",12400
"32","hope",12100
"33","tell",12000
"34","i’ve",11700
"35","guy",11600
"36","b",11500
"37","night",11400
"38","ok",11400
"39","new",11100
"40","people",10900
"41","look",10100
"42","looks",10100
"43","yes",10000
"44","u",9500
"45","needs",9000
"46","wow",8600
"47","mike",8500
"48","tv",8500
"49","give",8100
"50","dude",7500
"51","guys",7500
"52","two",7500
"53","both",7200
"54","live",7200
"55","end",7100
"56","s",6700
"57","m",6600
"58","through",6500
"59","sure",6400
"60","ex",6300
"61","put",6300
"62","deserve",6200
"63","seen",6200
"64","friend",6100
"65","friends",6100
"66","pretty",6100
"67","fuck",6000
"68","while",5700
"69","lot",5600
"70","old",5600
"71","tyler",5600
"72","though",5500
"73","i’d",5300
"74","mom",5300
"75","ross",5300
"76","wtf",5300
"77","yet",5300
"78","i’ll",5200
"79","luke",5100
"80","cute",4900
"81","seems",4900
"82","producers",4700
"83","left",4600
"84","bc",4500
"85","perfect",4500
"86","pick",4500
"87","big",4400
"88","group",4300
"89","w",4300
"90","hot",4200
"91","cry",4100
"92","queen",4100
"93","send",4100
"94","super",4100
"95","im",4000
"96","until",4000
"97","cool",3800
"98","deserves",3800
"99","enough",3800
"100","knew",3800
"101","jed",3600
"102","respect",3600
"103","rn",3600
"104","demi",3500
"105","k",3500
"106","ugh",3500
"107","dress",3400
"108","nice",3400
"109","peter",3400
"110","5",3300
"111","f",3300
"112","sent",3300
"113","bumper",3200
"114","might",3200
"115","t",3200
"116","entire",3100
"117","fun",3100
"118","high",3100
"119","room",3100
"120","boy",3000
"121","trump",3000
"122","which",3000
"123","r",2900
"124","key",2800
"125","move",2800
"126","true",2800
"127","wouldn’t",2800
"128","under",2700
"129","bro",2600
"130","loved",2600
"131","scene",2600
"132","sucks",2600
"133","three",2600
"134","yo",2600
"135","chicken",2500
"136","choice",2500
"137","idk",2500
"138","shot",2500
"139","eyes",2400
"140","sienne",2400
"141","suck",2400
"142","tho",2400
"143","throw",2400
"144","voice",2400
"145","c",2300
"146","wills",2300
"147","dumb",2200
"148","lost",2200
"149","low",2200
"150","rest",2200
"151","rock",2200
"152","self",2200
"153","set",2200
"154","turn",2200
"155","6",2100
"156","broke",2100
"157","felt",2100
"158","full",2100
"159","funny",2100
"160","job",2100
"161","school",2100
"162","truly",2100
"163","vote",2100
"164","g",2000
"165","liked",2000
"166","model",2000
"167","o",2000
"168","p",2000
"169","picked",2000
"170","stupid",2000
"171","biggest",1900
"172","choose",1900
"173","guess",1900
"174","h",1900
"175","hi",1900
"176","l",1900
"177","lie",1900
"178","nights",1900
"179","proud",1900
"180","run",1900
"181","shut",1900
"182","tbh",1900
"183","broken",1800
"184","couple",1800
"185","few",1800
"186","food",1800
"187","gross",1800
"188","huh",1800
"189","likes",1800
"190","loves",1800
"191","president",1800
"192","truth",1800
"193","ur",1800
"194","8",1700
"195","found",1700
"196","future",1700
"197","kill",1700
"198","middle",1700
"199","obsessed",1700
"200","red",1700
"201","seem",1700
"202","smh",1700
"203","try",1700
"204","cut",1600
"205","drunk",1600
"206","feels",1600
"207","gives",1600
"208","joe",1600
"209","luck",1600
"210","mueller",1600
"211","spoilers",1600
"212","couch",1500
"213","fence",1500
"214","fight",1500
"215","hug",1500
"216","jump",1500
"217","less",1500
"218","movie",1500
"219","picks",1500
"220","plz",1500
"221","propose",1500
"222","shook",1500
"223","turned",1500
"224","um",1500
"225","upset",1500
"226","boyfriend",1400
"227","close",1400
"228","country",1400
"229","cuz",1400
"230","dick",1400
"231","emily",1400
"232","ends",1400
"233","hold",1400
"234","hurt",1400
"235","older",1400
"236","piece",1400
"237","possible",1400
"238","re",1400
"239","screen",1400
"240","shouldn’t",1400
"241","sign",1400
"242","terrible",1400
"243","would’ve",1400
"244","7",1300
"245","bip",1300
"246","boo",1300
"247","book",1300
"248","brought",1300
"249","chick",1300
"250","dumped",1300
"251","eye",1300
"252","follow",1300
"253","fool",1300
"254","kick",1300
"255","level",1300
"256","picture",1300
"257","rip",1300
"258","shocked",1300
"259","spot",1300
"260","stuff",1300
"261","till",1300
"262","tried",1300
"263","y",1300
"264","drop",1200
"265","ew",1200
"266","fell",1200
"267","holy",1200
"268","huge",1200
"269","joke",1200
"270","kylie",1200
"271","limo",1200
"272","lose",1200
"273","mood",1200
"274","news",1200
"275","omfg",1200
"276","pee",1200
"277","pls",1200
"278","sense",1200
"279","shoes",1200
"280","uncle",1200
"281","venmo",1200
"282","yr",1200
"283","blue",1100
"284","cruel",1100
"285","decided",1100
"286","e",1100
"287","experience",1100
"288","idiot",1100
"289","kids",1100
"290","led",1100
"291","peru",1100
"292","proposed",1100
"293","roses",1100
"294","sick",1100
"295","side",1100
"296","bless",1000
"297","btw",1000
"298","childhood",1000
"299","d",1000
"300","de",1000
"301","deserved",1000
"302","dropped",1000
"303","dudes",1000
"304","grew",1000
"305","hunter",1000
"306","impressed",1000
"307","lucky",1000
"308","needed",1000
"309","nick",1000
"310","props",1000
"311","pumped",1000
"312","pure",1000
"313","wild",1000
"314","bibi",900
"315","boys",900
"316","bs",900
"317","college",900
"318","enjoy",900
"319","figure",900
"320","film",900
"321","five",900
"322","grocery",900
"323","ice",900
"324","kenny",900
"325","killer",900
"326","lil",900
"327","lt",900
"328","neil",900
"329","nobody",900
"330","nose",900
"331","pictures",900
"332","premiere",900
"333","proposes",900
"334","punch",900
"335","quick",900
"336","respectful",900
"337","sell",900
"338","sexy",900
"339","shirt",900
"340","should’ve",900
"341","silence",900
"342","skip",900
"343","spent",900
"344","spoke",900
"345","stuck",900
"346","student",900
"347","tells",900
"348","th",900
"349","uh",900
"350","yikes",900
"351","blow",800
"352","body",800
"353","bowl",800
"354","bunch",800
"355","chill",800
"356","chose",800
"357","cold",800
"358","cutest",800
"359","decide",800
"360","def",800
"361","desert",800
"362","dressed",800
"363","drive",800
"364","em",800
"365","enewill",800
"366","fire",800
"367","hurts",800
"368","ily",800
"369","joey",800
"370","kid",800
"371","lies",800
"372","looked",800
"373","mn",800
"374","mute",800
"375","nooooo",800
"376","nyc",800
"377","period",800
"378","plot",800
"379","post",800
"380","posted",800
"381","producer",800
"382","quote",800
"383","relief",800
"384","rules",800
"385","sends",800
"386","series",800
"387","service",800
"388","simple",800
"389","steve",800
"390","sup",800
"391","v",800
"392","b’s",700
"393","bomb",700
"394","bought",700
"395","buy",700
"396","club",700
"397","count",700
"398","crew",700
"399","cried",700
"400","dc",700
"401","driver",700
"402","dump",700
"403","dumps",700
"404","ended",700
"405","feed",700
"406","flight",700
"407","free",700
"408","given",700
"409","grey",700
"410","hopefully",700
"411","j",700
"412","lip",700
"413","mvp",700
"414","noooooo",700
"415","open",700
"416","posts",700
"417","ppl",700
"418","pro",700
"419","row",700
"420","sloth",700
"421","spill",700
"422","spoiler",700
"423","stick",700
"424","sucked",700
"425","supposed",700
"426","third",700
"427","trip",700
"428","trouble",700
"429","turns",700
"430","ugly",700
"431","video",700
"432","voted",700
"433","wreck",700
"434","wth",700
"435","9",600
"436","bf",600
"437","bibs",600
"438","bottle",600
"439","bruh",600
"440","child",600
"441","choices",600
"442","closed",600
"443","currently",600
"444","drill",600
"445","duh",600
"446","dvr",600
"447","feet",600
"448","fest",600
"449","fired",600
"450","fucked",600
"451","fully",600
"452","girl’s",600
"453","hotel",600
"454","hulu",600
"455","i️",600
"456","leo",600
"457","lied",600
"458","lips",600
"459","luyendyk",600
"460","mr",600
"461","multiple",600
"462","murder",600
"463","noooo",600
"464","opens",600
"465","pic",600
"466","pot",600
"467","pretend",600
"468","prove",600
"469","ps",600
"470","pull",600
"471","pulled",600
"472","quirky",600
"473","rid",600
"474","ride",600
"475","rouge",600
"476","rt",600
"477","scott",600
"478","settle",600
"479","sex",600
"480","shoot",600
"481","speech",600
"482","spoken",600
"483","st",600
"484","text",600
"485","tf",600
"486","tired",600
"487","tune",600
"488","ummmm",600
"489","vs",600
"490","wiener",600
"491","woke",600
"492","wrote",600
"493","yessss",600
"494","0",500
"495","bill",500
"496","blessed",500
"497","bottles",500
"498","boyfriends",500
"499","bucket",500
"500","build",500
"501","children",500
"502","co",500
"503","cooper",500
"504","cue",500
"505","demo",500
"506","destroyer",500
"507","die",500
"508","directly",500
"509","dm",500
"510","dry",500
"511","dun",500
"512","energy",500
"513","fellow",500
"514","figured",500
"515","fill",500
"516","fix",500
"517","flew",500
"518","flood",500
"519","fo",500
"520","french",500
"521","geez",500
"522","girlfriend",500
"523","girlfriends",500
"524","guest",500
"525","guided",500
"526","jerk",500
"527","jokes",500
"528","jr",500
"529","killed",500
"530","ledger",500
"531","light",500
"532","los",500
"533","losers",500
"534","loss",500
"535","lots",500
"536","n",500
"537","neck",500
"538","nuts",500
"539","ol",500
"540","olds",500
"541","pig",500
"542","pool",500
"543","pop",500
"544","pre",500
"545","preview",500
"546","priceless",500
"547","promo",500
"548","psycho",500
"549","quest",500
"550","recently",500
"551","river",500
"552","round",500
"553","rude",500
"554","rule",500
"555","scenes",500
"556","sec",500
"557","sentence",500
"558","sesh",500
"559","sh",500
"560","signed",500
"561","smile",500
"562","snl",500
"563","snooze",500
"564","spend",500
"565","spoiled",500
"566","stfu",500
"567","surgery",500
"568","te",500
"569","teeth",500
"570","test",500
"571","tries",500
"572","type",500
"573","umm",500
"574","un",500
"575","wouldn't",500
"576","yelled",500
"577","yesssss",500
"578","500",400
"579","bffs",400
"580","blew",400
"581","boobs",400
"582","boom",400
"583","buddy",400
"584","buggy",400
"585","bugs",400
"586","bull",400
"587","bun",400
"588","burn",400
"589","cc",400
"590","center",400
"591","clmgiudici",400
"592","clue",400
"593","cough",400
"594","cries",400
"595","cross",400
"596","deck",400
"597","defend",400
"598","devil",400
"599","dms",400
"600","dumpster",400
"601","dutch",400
"602","ei",400
"603","emoji",400
"604","er",400
"605","evil",400
"606","expect",400
"607","folks",400
"608","fr",400
"609","friendship",400
"610","fuckboy",400
"611","gem",400
"612","glow",400
"613","ground",400
"614","grounded",400
"615","hickey",400
"616","hidden",400
"617","highlight",400
"618","highlighter",400
