"","word","n"
"1","i",210300
"2","like",62400
"3","love",42500
"4","i’m",40200
"5","now",33500
"6","girl",30400
"7","up",29200
"8","no",20200
"9","would",19200
"10","omg",18700
"11","next",17800
"12","right",16000
"13","see",15900
"14","ever",15400
"15","girls",15300
"16","still",13800
"17","rose",13500
"18","feel",13000
"19","much",12800
"20","bibi_julz",12500
"21","first",11800
"22","will",11800
"23","need",11500
"24","oh",10000
"25","should",10000
"26","most",9800
"27","never",9700
"28","ok",9700
"29","b",9200
"30","over",9000
"31","hope",8800
"32","lol",8400
"33","tell",8300
"34","i’ve",8100
"35","looks",7800
"36","people",7800
"37","yes",7400
"38","tv",7200
"39","needs",7100
"40","new",7100
"41","wow",7100
"42","u",6900
"43","look",6800
"44","give",6700
"45","guy",6700
"46","m",6100
"47","night",6100
"48","through",5500
"49","dude",5400
"50","s",5400
"51","ex",5300
"52","ross",5300
"53","two",5300
"54","pretty",5100
"55","deserve",5000
"56","live",5000
"57","old",5000
"58","sure",4900
"59","seen",4800
"60","mom",4600
"61","while",4600
"62","wtf",4600
"63","friend",4500
"64","friends",4500
"65","fuck",4500
"66","lot",4500
"67","put",4400
"68","yet",4400
"69","both",4300
"70","end",4300
"71","i’d",4300
"72","guys",4200
"73","producers",4200
"74","though",4000
"75","left",3900
"76","group",3800
"77","enough",3600
"78","seems",3500
"79","i’ll",3400
"80","cool",3300
"81","bc",3200
"82","bumper",3200
"83","deserves",3200
"84","im",3200
"85","k",3200
"86","big",3100
"87","cry",3100
"88","rn",3100
"89","cute",3000
"90","dress",3000
"91","hot",3000
"92","knew",2900
"93","super",2900
"94","entire",2800
"95","f",2700
"96","perfect",2700
"97","room",2700
"98","ugh",2700
"99","until",2700
"100","pick",2600
"101","respect",2600
"102","send",2600
"103","might",2500
"104","high",2400
"105","sent",2400
"106","sienne",2400
"107","5",2300
"108","scene",2300
"109","true",2300
"110","fun",2200
"111","suck",2200
"112","voice",2200
"113","queen",2100
"114","tho",2100
"115","boy",2000
"116","key",2000
"117","lost",2000
"118","move",2000
"119","nice",2000
"120","rock",2000
"121","shot",2000
"122","sucks",2000
"123","t",1900
"124","w",1900
"125","which",1900
"126","choice",1800
"127","dumb",1800
"128","low",1800
"129","three",1800
"130","biggest",1700
"131","broke",1700
"132","broken",1700
"133","gross",1700
"134","idk",1700
"135","loved",1700
"136","set",1700
"137","truly",1700
"138","turn",1700
"139","under",1700
"140","bro",1600
"141","felt",1600
"142","funny",1600
"143","middle",1600
"144","shut",1600
"145","throw",1600
"146","choose",1500
"147","eyes",1500
"148","l",1500
"149","loves",1500
"150","picked",1500
"151","r",1500
"152","run",1500
"153","self",1500
"154","stupid",1500
"155","try",1500
"156","vote",1500
"157","couch",1400
"158","emily",1400
"159","full",1400
"160","gives",1400
"161","less",1400
"162","o",1400
"163","tbh",1400
"164","wouldn’t",1400
"165","yo",1400
"166","cut",1300
"167","drunk",1300
"168","feels",1300
"169","found",1300
"170","future",1300
"171","guess",1300
"172","hi",1300
"173","hold",1300
"174","huh",1300
"175","liked",1300
"176","nights",1300
"177","propose",1300
"178","rest",1300
"179","school",1300
"180","boyfriend",1200
"181","chick",1200
"182","couple",1200
"183","dumped",1200
"184","ends",1200
"185","h",1200
"186","hug",1200
"187","kylie",1200
"188","pee",1200
"189","president",1200
"190","proud",1200
"191","seem",1200
"192","smh",1200
"193","terrible",1200
"194","uncle",1200
"195","6",1100
"196","boo",1100
"197","close",1100
"198","cruel",1100
"199","idiot",1100
"200","kill",1100
