"","date","polarity","state","text","Weeks","Season"
"1",2018-12-06,0.5875,"CA","@garrettlomanto Erika McNutt! Lol I’m so excited","pre-show","Bachelor 2019"
"2",2018-12-08,0,"TX","Don’t forget to watch the 3 HOUR premiere of #thebachelor on January 7th, 2019 !!!🙌🏼💗🌹 @coltonunderwood… https://t.co/SILkMWvNZA","pre-show","Bachelor 2019"
"3",2018-12-08,0,"HI","https://t.co/S4oWTeAfVB - ( Blog This Link ) | Tracy Shapoff: #TheBachelor Contestant Caught Using Slurs, Fat-Shami… https://t.co/xDgqhcFEIi","pre-show","Bachelor 2019"
"4",2018-12-09,0.15,"CA","Had a fun time last night thebachelorpartymovie #moviepremiere w @greenvenus10 &amp; @shawnvalentino!  VLOG coming next… https://t.co/XfKCFICTf5","pre-show","Bachelor 2019"
"5",2018-12-11,0.6,"MI","#Thanks to Heather Martin for giving an #excellent #guest #lecture about her non-profit @youth.arts.alliance that d… https://t.co/HMYwOYeRmE","pre-show","Bachelor 2019"
"6",2018-12-13,0,"NY","Dreaming of your big break on #realitytv ?Maybe on  #thebachelor #thebachelorette #bachelorinparadise ? 
.
.… https://t.co/7qwj3nmbAy","pre-show","Bachelor 2019"
"7",2018-12-14,0,"MI","Will @abexlumberg (Alex Blumberg, CEO of Gimlet Media) add me on Fitbit?","pre-show","Bachelor 2019"
"8",2018-12-15,0,"OH","@han7286 @hannahbrown7843 @TheGrinch2000 https://t.co/px9tjNCopW","pre-show","Bachelor 2019"
"9",2018-12-15,0,"TN","The only episode of #thebachelor that I’ve ever seen. @ Nashville, Tennessee https://t.co/0Ag6mGILZe","pre-show","Bachelor 2019"
"10",2018-12-19,0,"FL","Brought in some extra reinforcement to meet my end of the year deadlines🤣🤣🤣hankthebachelor @identitymediapr… https://t.co/WgnGxlrjoP","pre-show","Bachelor 2019"
"11",2018-12-26,0.3125,"MI","Cleaning up after the Holidays is so much work! Thank God for Robot Vacuums! 🤓🤯🤣🎅🏻☃️🎄🎁👽🤖  #thebachelor #bachelor… https://t.co/WhVSEyErVW","pre-show","Bachelor 2019"
"12",2018-12-31,0,"NV","Well here is my #top9of2018 consisting of @bachelorabc and @bacheloretteabc cast members thejakepavelka1 @benhiggi… https://t.co/DUJ9VrYb6t","pre-show","Bachelor 2019"
"13",2019-01-01,0.395454545454545,"FL","Began the beautiful morning and New Year 🌷☀️ gentle sunrise yoga led by Erin Landry 🧘🏻‍♀️embassysuitesstaugustinebe… https://t.co/IdNxWqi83L","pre-show","Bachelor 2019"
"14",2019-01-01,0,"MN","plus, #thebachelor starts next week so I’ve got that goin for me.","pre-show","Bachelor 2019"
"15",2019-01-03,0.375,"FL","I am so beyond excited for Colton’s season of #thebachelor","pre-show","Bachelor 2019"
"16",2019-01-05,0.75,"CA","This is going to be an amazing episode!

#datingadvice #datingtips #podcast #bachelor #thebachelor #abc #NickViall… https://t.co/EZZL1S6FLX","pre-show","Bachelor 2019"
"17",2019-01-05,0,"MN","Any takers to go with me to see @thebkoof at Ridgedale next Saturday from 11-2? #thebachelor","pre-show","Bachelor 2019"
"18",2019-01-05,-0.05,"CA","@alyssakara Heather Martin! She’s like the skinniest thing on the planet with insanely long blond hair.","pre-show","Bachelor 2019"
"19",2019-01-06,0.118181818181818,"GA","Made a new blog post of my shoot with Hannah Godwin. I also talk about how I developed my photographic style.… https://t.co/Iikxb5rLFG","pre-show","Bachelor 2019"
"20",2019-01-07,0.55,"WY","My pick to win Colton’s heart on the Bachelor is @alexdillon60. As she seems to be the most sincere and genuine.","week 1","Bachelor 2019"
"21",2019-01-07,0,"VA","my dad told us we can’t go into his office because he has a surprise for us for bachelor night............ #thebachelor","week 1","Bachelor 2019"
"22",2019-01-07,0.4,"CA","Ready for this amazing journey to begin. @bachelorabc 

#thebachelor #bachelorabc #bachelornation #bachelornation🌹… https://t.co/hxVrcuPty4","week 1","Bachelor 2019"
"23",2019-01-07,0.0666666666666667,"MO","If I ever went on #thebachelor I would make my job title that appears on yr intro chiron something wild like “social media artist”","week 1","Bachelor 2019"
"24",2019-01-07,-0.431818181818182,"NY","I don’t need to watch #thebachelor because dating in New York has made grim and unwitting contestants of us all","week 1","Bachelor 2019"
"25",2019-01-07,0.25,"NC","I am doing my first most basic thing of the year tonight: watching the season premiere of @thebachelorabc drinking… https://t.co/JXslWk8yOb","week 1","Bachelor 2019"
"26",2019-01-07,0.2,"TX","Ready to drink my Christmas wine during #thebachelor tonight 😭😍","week 1","Bachelor 2019"
"27",2019-01-07,-0.0416666666666667,"OH","So excited that my guilty pleasure is back on tonight @bachelorabc 😍😍","week 1","Bachelor 2019"
"28",2019-01-07,0.6,"KY","so ready for #thebachelor and good food !! @wandavan1 @KatiVanOrder 🌹","week 1","Bachelor 2019"
"29",2019-01-07,0,"SC","@thebachelorabc is back tonight 🤩🥳🥰","week 1","Bachelor 2019"
"30",2019-01-07,0.46875,"MA","So excited for @colton’s journey tonight! #thebachelor","week 1","Bachelor 2019"
"31",2019-01-07,0.1875,"DC","As a committed live-tweeter of #thebachelor, I’m excited it is back tonight, but where’s the body diversity? When w… https://t.co/GlkmuAZrw8","week 1","Bachelor 2019"
"32",2019-01-08,0,"AL","For you #TheBachelor fans, there’s a girl from Alabama on the show. Her name is Hannah Brown and I spoke with her l… https://t.co/XmS7BzWLAr","week 1","Bachelor 2019"
"33",2019-01-08,0.3125,"TX","The first virgin bachelor?! Umm hello did everyone forget about @SeanLowe09 
#thebachelorpremiere #TheBachelor","week 1","Bachelor 2019"
"34",2019-01-08,0.75,"NY","Will you accept this rose?
Recipe for Nutella Apple Roses @ https://t.co/aC8BcFbMid TONIGHT!
#thebachelor… https://t.co/r2TK9SK56z","week 1","Bachelor 2019"
"35",2019-01-08,0.25,"NC","@mere_620 I just love following #thebachelor for the catty feed!  🌹","week 1","Bachelor 2019"
"36",2019-01-08,0,"CA","Theme: virginity #thebachelor","week 1","Bachelor 2019"
"37",2019-01-08,0,"CA","Here to watch the journey not viewing parties #thebachelor","week 1","Bachelor 2019"
"38",2019-01-08,0,"IL","Still laughing at all the commentary friends and I exchanged last night during the premier of #thebachelor 🤣. Who e… https://t.co/lk8sWGAYgi","week 1","Bachelor 2019"
"39",2019-01-08,-1,"AR","Catherine is the worst #thebachelorpremier","week 1","Bachelor 2019"
"40",2019-01-08,0,"NY","Colton watching Sloth Girl’s entrance. #thebachelor https://t.co/OhLPjbIhCa","week 1","Bachelor 2019"
"41",2019-01-08,0.2,"CA","There’s TOO MUCH of viewing parties being showed #thebachelor I’m here to see the journey","week 1","Bachelor 2019"
"42",2019-01-08,0.25,"CA","He looks mortified every time a girl brings up his virginity why anyone thought it’d be funny to do so is beyond me. #thebachelor","week 1","Bachelor 2019"
"43",2019-01-08,0,"GA","we stan onyeka in this house #thebachelor","week 1","Bachelor 2019"
"44",2019-01-08,0,"TX","catherine from #thebachelor following colton around the mansion to interrupt like https://t.co/gjN2Paf0uw","week 1","Bachelor 2019"
